benchmark,type,number,model,taxa,sites,patterns,chain_length,sample_frequency,seed,timestamp,platform,cpu,ram_gb,cores_physical,cores_logical,gpu,gpu_cores,beast_version,beagle_version,beagle_resource,beagle_threads,initial_joint,initial_deviation,final_joint,final_deviation,runtime,wall_clock_time,sample_rate
benchmark-small-1-min,small,1,min,71,654,280,35000000,35000,1234,2026-05-16 07:33:40,macOS-26.3.1-arm64-arm-64bit-Mach-O,Apple M3 Max,36,14,14,Apple M3 Max,30,v10.5.0,v4.0.1 (PRE-RELEASE),CPU (arm64),14,-29529.1683,0.0,-7009.8068,0.0,9.3286,560.082,0.27
benchmark-small-2-min,small,2,min,165,1698,258,20000000,20000,1234,2026-05-16 07:43:00,macOS-26.3.1-arm64-arm-64bit-Mach-O,Apple M3 Max,36,14,14,Apple M3 Max,30,v10.5.0,v4.0.1 (PRE-RELEASE),CPU (arm64),14,-13688.7866,0.0,-6140.687,0.0,8.850883333333334,531.486,0.44
benchmark-big-1-min,big,1,min,976,29409,2078,3000000,3000,1234,2026-05-16 07:24:20,macOS-26.3.1-arm64-arm-64bit-Mach-O,Apple M3 Max,36,14,14,Apple M3 Max,30,v10.5.0,v4.0.1 (PRE-RELEASE),CPU (arm64),14,-78550.7397,0.0,-56646.7545,0.0,9.313083333333333,560.076,3.16
benchmark-big-2-min,big,2,min,1610,18996,7927,1000000,1000,1234,2026-05-16 06:44:16,macOS-26.3.1-arm64-arm-64bit-Mach-O,Apple M3 Max,36,14,14,Apple M3 Max,30,v10.5.0,v4.0.1 (PRE-RELEASE),CPU (arm64),14,-190429.529,0.0,-63593.0514,0.0,10.228866666666667,616.446,
benchmark-tall-1-min,tall,1,min,1441,987,593,2500000,2500,1234,2026-05-16 07:51:52,macOS-26.3.1-arm64-arm-64bit-Mach-O,Apple M3 Max,36,14,14,Apple M3 Max,30,v10.5.0,v4.0.1 (PRE-RELEASE),CPU (arm64),14,-107792.3161,0.0,-26990.1712,0.0,12.060366666666665,724.322,5.77
benchmark-wide-1-min,wide,1,min,64,185578,1955,10000000,10000,1234,2026-05-16 07:04:34,macOS-26.3.1-arm64-arm-64bit-Mach-O,Apple M3 Max,36,14,14,Apple M3 Max,30,v10.5.0,v4.0.1 (PRE-RELEASE),CPU (arm64),14,-1914725.7912,0.0,-331133.3615,0.0,8.06675,484.692,0.8
benchmark-small-1-min,small,1,min,71,654,280,35000000,35000,1234,2026-05-16 16:09:10,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,62.8,12,48,Tesla P100 PCIe 16GB,,v10.5.0,v4.0.1 (PRE-RELEASE),Tesla P100-PCIE-16GB,48,-29529.1683,0.0,-6998.199,11.6078,43.359383333333334,2602.589,1.24
benchmark-small-2-min,small,2,min,165,1698,258,20000000,20000,1234,2026-05-16 16:52:33,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,62.8,12,48,Tesla P100 PCIe 16GB,,v10.5.0,v4.0.1 (PRE-RELEASE),Tesla P100-PCIE-16GB,48,-13688.7866,0.0,-6152.868,-12.181,37.28428333333333,2238.127,1.87
benchmark-big-1-min,big,1,min,976,29409,2078,3000000,3000,1234,2026-05-16 17:29:51,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,62.8,12,48,Tesla P100 PCIe 16GB,,v10.5.0,v4.0.1 (PRE-RELEASE),Tesla P100-PCIE-16GB,48,-78550.7397,0.0,-56749.2492,-102.4947,21.9792,1323.631,
benchmark-big-2-min,big,2,min,1610,18996,7927,1000000,1000,1234,2026-05-16 17:51:55,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,62.8,12,48,Tesla P100 PCIe 16GB,,v10.5.0,v4.0.1 (PRE-RELEASE),Tesla P100-PCIE-16GB,48,-190429.529,0.0,-63633.5052,-40.4538,12.430683333333333,753.12,
benchmark-tall-1-min,tall,1,min,1441,987,593,2500000,2500,1234,2026-05-16 18:04:28,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,62.8,12,48,Tesla P100 PCIe 16GB,,v10.5.0,v4.0.1 (PRE-RELEASE),Tesla P100-PCIE-16GB,48,-107792.3161,0.0,-27034.1492,-43.978,29.32725,1761.453,
benchmark-wide-1-min,wide,1,min,64,185578,1955,10000000,10000,1234,2026-05-16 18:33:50,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,62.8,12,48,Tesla P100 PCIe 16GB,,v10.5.0,v4.0.1 (PRE-RELEASE),Tesla P100-PCIE-16GB,48,-1914725.7912,0.0,-331136.0557,-2.6942,13.073783333333333,786.905,1.31
